# Program:featureCounts v2.0.6; Command:"featureCounts" "-T" "16" "-s" "2" "-a" "ref/Saccharomyces_cerevisiae.gtf" "-o" "counts.txt" "-p" "SRR19383416.bam" "SRR19383417.bam" "SRR19383418.bam" "SRR19383407.bam" "SRR19383408.bam" "SRR19383409.bam" 
Geneid	Chr	Start	End	Strand	Length	SRR19383416.bam	SRR19383417.bam	SRR19383418.bam	SRR19383407.bam	SRR19383408.bam	SRR19383409.bam
YDR200C	IV	854279	856093	-	1815	256	335	327	487	468	583
YDR191W	IV	842337	843449	+	1113	174	273	260	280	237	292
YDR451C	IV	1361120	1362181	-	1062	541	642	551	658	694	738
YDR469W	IV	1399015	1399542	+	528	428	482	379	342	325	366
YDR470C	IV	1399706	1401214	-	1509	649	691	579	1480	1294	1656
YDR105C	IV	665349	666770	-	1422	1353	1652	1575	4021	3593	4373
YDR483W	IV	1421157	1422485	+	1329	5616	7818	6132	9524	8082	9974
YDL123W	IV	241418	241840	+	423	207	301	267	1905	1488	1924
YDL199C	IV	101290	103353	-	2064	245	359	281	3445	2939	3654
YDR505C	IV	1456695	1459220	-	2526	1515	2005	1671	6080	5468	6502
YDL045W-A	IV	372248	372535	+	288	294	338	306	312	258	380
YDL045C	IV	372688	373608	-	921	373	470	385	1281	1062	1436
YDR361C	IV	1195412	1196263	-	852	967	1332	1079	190	162	189
YDR406W-A	IV	1283799	1284044	+	246	8	14	11	77	56	78
YDR199W	IV	854175	854540	+	366	6	8	12	11	8	10
YDR266C	IV	1000104	1002023	-	1920	1067	1426	1223	892	860	955
YDL242W	IV	18959	19312	+	354	6	6	8	22	24	32
YDR002W	IV	453045	453650	+	606	4702	6645	5154	3468	2877	3515
YDR214W	IV	892875	893927	+	1053	1405	1730	1681	6935	5405	7126
YDR130C	IV	715747	716622	-	876	221	287	235	740	642	802
YDL176W	IV	142097	144223	+	2127	409	484	431	1370	1046	1382
YDR358W	IV	1190059	1191732	+	1674	385	544	433	4808	4106	5253
YDR544C	IV	1525095	1525523	-	429	1	0	0	0	0	3
YDR460W	IV	1383811	1384776	+	966	257	264	263	483	541	648
snR84	IV	1492477	1493026	-	550	17232	21635	18602	15205	13838	17432
YDR034W-B	IV	521314	521469	+	156	10	19	15	230	231	294
YDL028C	IV	400997	403291	-	2295	598	791	707	1462	1208	1499
YDR061W	IV	574164	575783	+	1620	555	741	613	1599	1463	1887
YDR060W	IV	570649	573726	+	3078	3722	5182	4299	253	204	243
YDR169C-A	IV	794574	794723	-	150	6	11	7	106	61	68
YDR363W	IV	1199183	1200553	+	1371	130	156	190	290	246	252
YDR422C	IV	1315326	1317773	-	2448	1155	1448	1214	2623	2352	2937
YDR119W	IV	688227	690533	+	2307	3688	4980	4175	6190	5026	6423
tR(ACG)D	IV	619969	620041	-	73	9	11	13	24	19	14
YDR097C	IV	640109	643837	-	3729	1639	2084	1863	895	757	812
YDR042C	IV	540601	541203	-	603	10	58	37	50	38	40
YDL160C	IV	170410	171930	-	1521	4505	6042	4926	12035	10681	13580
YDR425W	IV	1320064	1321941	+	1878	302	362	375	1040	952	1242
snR13	IV	1402919	1403042	+	124	1376	1053	1676	854	928	899
YDR228C	IV	921926	923806	-	1881	588	738	674	1490	1248	1547
YDR319C	IV	1105003	1105827	-	825	510	619	501	1777	1537	2010
YDR471W	IV;IV	1401770;1402185	1401800;1402564	+;+	411	8240	10217	9151	813	726	984
YDR089W	IV	622112	624721	+	2610	1169	1552	1300	10486	8754	10423
tD(GUC)D	IV	568964	569035	+	72	4	13	3	0	0	2
YDR275W	IV	1012252	1012959	+	708	183	233	209	911	764	871
YDR043C	IV	542674	543369	-	696	154	135	183	4300	3899	4570
YDR129C	IV;IV	713340;715359	715247;715379	-;-	1929	5794	7515	6730	10543	9144	11500
YDR136C	IV	727711	728283	-	573	15	2	18	29	28	31
YDL066W	IV	334835	336121	+	1287	7337	9064	8257	20496	18000	21721
YDR302W	IV	1067731	1068390	+	660	651	845	725	615	543	652
YDR239C	IV	941057	943420	-	2364	547	790	644	786	719	901
YDR539W	IV	1512094	1513605	+	1512	771	958	808	1643	1368	1720
tK(CUU)D1	IV	1201750	1201822	+	73	4	4	6	1	0	0
YDL125C	IV;IV	239019;239510	239398;239606	-;-	477	3193	3685	3495	10537	10063	12832
YDR493W	IV	1436217	1436588	+	372	142	168	183	209	196	250
YDR101C	IV	655686	657467	-	1782	2631	3589	3187	195	195	324
YDR182W-A	IV	829151	829354	+	204	32	41	41	72	82	79
YDR212W	IV	887232	888911	+	1680	7000	8792	7182	3827	3665	4005
YDR476C	IV	1410453	1411127	-	675	1022	1336	1262	3045	2608	3601
YDL131W	IV	227393	228715	+	1323	1980	2526	2221	1312	1225	1472
YDR458C	IV	1380055	1382046	-	1992	650	863	733	1293	1088	1367
YDR081C	IV	607304	610081	-	2778	882	1101	1020	1606	1292	1805
YDL071C	IV	330666	331040	-	375	10	25	20	70	64	82
YDR113C	IV	680496	681617	-	1122	215	303	284	596	455	567
YDR168W	IV	790328	791848	+	1521	1780	2349	1978	2693	2386	3076
YDR520C	IV	1481085	1483403	-	2319	351	360	410	754	656	797
YDR307W	IV	1075865	1077853	+	1989	1215	1485	1284	2948	2426	3078
YDR265W	IV	998864	999877	+	1014	306	396	347	1595	1445	1584
YDL076C	IV	320668	321552	-	885	402	480	446	1233	1105	1400
YDL006W	IV	439909	440754	+	846	408	597	419	1687	1441	1791
YDL086W	IV	301413	302234	+	822	1221	1622	1369	2650	2230	2737
YDR238C	IV	937895	940816	-	2922	7917	9980	8555	5357	4667	5961
YDR077W	IV	600793	601809	+	1017	14070	17190	17367	34268	28370	38067
YDR381C-A	IV;IV	1238312;1238825	1238630;1238850	-;-	345	88	126	134	383	311	360
YDL023C	IV	411761	412081	-	321	44	45	28	127	125	144
YDL083C	IV;IV	306926;307766	307333;307789	-;-	432	19256	23883	19976	889	805	1088
YDR036C	IV	523211	524713	-	1503	678	891	889	1041	848	1031
YDR057W	IV	565927	567555	+	1629	432	568	432	1072	869	1174
YDR513W	IV	1471017	1471448	+	432	1330	1455	1251	11133	10206	12432
YDR487C	IV	1428354	1428980	-	627	2459	2867	2597	4158	3828	4717
YDR066C	IV	581908	582498	-	591	116	110	114	365	329	359
YDR352W	IV	1181801	1182754	+	954	880	1005	927	1450	1288	1595
YDR278C	IV	1017001	1017318	-	318	5	4	3	9	14	11
YDR079C-A	IV	603593	603811	-	219	144	126	109	249	201	287
YDR204W	IV	858137	859144	+	1008	437	464	452	3339	3035	3858
YDL247W-A	IV	3762	3836	+	75	3	4	13	32	42	28
YDL024C	IV	408451	409857	-	1407	27	44	41	2119	1818	2445
tA(AGC)D	IV	410379	410451	+	73	4	1	2	0	0	4
YDR109C	IV	673520	675667	-	2148	307	411	384	948	840	948
YDR466W	IV	1395121	1397817	+	2697	652	958	810	1527	1420	1708
YDR427W	IV	1322205	1323386	+	1182	2191	2914	2238	4373	3836	4555
YDL044C	IV	373967	375289	-	1323	201	303	229	354	312	390
YDL079C	IV;IV	312951;314337	314044;314748	-;-	1506	65	59	57	327	324	353
YDR193W	IV	844554	844952	+	399	4	7	8	29	39	47
YDR305C	IV;IV	1072746;1073402	1073312;1073488	-;-	654	246	314	283	683	616	767
YDR377W	IV	1228611	1228916	+	306	1055	1272	1146	1926	1679	2027
YDR219C	IV	905455	906852	-	1398	378	558	462	1797	1588	1957
YDR416W	IV	1298432	1301011	+	2580	647	934	738	1411	1273	1580
YDR365C	IV	1204497	1206383	-	1887	2201	2972	2605	777	638	843
YDL233W	IV	36797	38173	+	1377	176	251	243	523	424	575
YDR287W	IV	1035995	1036873	+	879	299	473	416	967	849	992
YDR448W	IV	1356065	1357369	+	1305	419	581	496	1694	1447	1856
YDR180W	IV	821295	825776	+	4482	1249	1670	1416	653	531	604
tF(GAA)D	IV;IV	1095370;1095425	1095405;1095461	-;-	73	12	21	8	12	10	17
tT(AGU)D	IV	434264	434336	-	73	14	9	10	7	2	5
YDR294C	IV	1050459	1052228	-	1770	2118	2599	2265	3198	2813	3687
YDR198C	IV	852533	853972	-	1440	375	478	382	379	321	382
YDL163W	IV	166956	167258	+	303	3	0	4	2	2	2
YDL119C	IV	246689	247612	-	924	145	169	150	277	261	340
YDR501W	IV	1451353	1452918	+	1566	132	202	168	263	232	240
YDL214C	IV	74446	76545	-	2100	25	39	30	584	504	722
YDR264C	IV	996029	998323	-	2295	8334	10231	9056	26036	22786	28752
YDR343C	IV	1159608	1161320	-	1713	65	88	63	214	209	232
YDR373W	IV	1222759	1223331	+	573	944	1283	1117	2106	1878	2099
YDR354W	IV	1184747	1185889	+	1143	1889	2249	1976	3152	2772	3480
YDR246W	IV	954288	954947	+	660	179	257	246	356	306	355
YDR428C	IV	1323454	1324239	-	786	536	635	539	636	549	602
YDR157W	IV	769931	770332	+	402	88	111	83	68	54	58
YDR316W	IV	1093763	1095178	+	1416	175	230	235	306	212	289
YDL142C	IV	201719	202570	-	852	280	346	317	2851	2465	3243
YDR253C	IV	963990	964565	-	576	26	37	63	3962	2994	3820
YDL112W	IV	258915	263225	+	4311	3269	4472	4087	789	620	807
YDR545W	IV	1526321	1531711	+	5391	4	7	9	9	11	14
YDL187C	IV	125509	125838	-	330	35	54	54	72	58	84
YDL138W	IV	213351	215642	+	2292	692	821	824	1130	950	1238
YDR528W	IV	1494586	1495857	+	1272	534	780	655	244	198	214
YDR284C	IV	1030550	1031419	-	870	1366	1750	1489	3564	3279	4233
YDR050C	IV	555726	556472	-	747	81357	109358	88380	51698	43232	54007
YDL010W	IV	432330	433025	+	696	286	424	315	880	726	864
YDL065C	IV	336249	337277	-	1029	385	540	480	443	338	434
YDR349C	IV	1172386	1174176	-	1791	1873	2378	2168	3563	3174	4069
YDL098C	IV	284581	285165	-	585	141	198	175	163	186	158
YDL234C	IV	34237	36477	-	2241	584	764	669	3725	3156	3922
YDR118W	IV	685882	687840	+	1959	317	407	336	1587	1324	1594
YDR118W-A	IV	687768	687884	+	117	5	5	7	15	19	25
YDR159W	IV	771877	775782	+	3906	1243	1686	1262	1769	1394	1809
YDR111C	IV	678241	679764	-	1524	639	796	638	4498	3876	4922
YDR128W	IV	709549	712995	+	3447	1181	1693	1486	2297	1783	2377
YDL034W	IV	391783	392127	+	345	4	3	4	6	6	5
YDR065W	IV	580687	581784	+	1098	162	270	234	332	282	362
YDL004W	IV	443029	443511	+	483	1293	1599	1444	2535	2427	2907
YDR024W	IV	491017	491502	+	486	188	274	210	67	75	61
YDL171C	IV	149203	155640	-	6438	10674	14700	11791	4542	3786	4791
YDR083W	IV	612073	613251	+	1179	564	823	777	135	85	113
YDR457W	IV	1369790	1379596	+	9807	10038	13117	11263	10632	8882	11483
YDR014W	IV	474046	475989	+	1944	271	336	220	782	705	893
YDR206W	IV	862054	864708	+	2655	1413	1984	1746	2214	2139	2577
YDR478W	IV	1414575	1415171	+	597	137	192	144	122	111	150
YDR169C	IV	792348	793889	-	1542	374	599	439	1444	1213	1472
YDR115W	IV	682175	682492	+	318	368	522	417	1090	882	1049
YDL159W-A	IV	172182	172313	+	132	2	2	2	1	0	3
YDL232W	IV	38487	38597	+	111	721	714	665	748	720	935
YDL240C-A	IV	22471	22608	-	138	0	0	0	0	4	0
tE(CUC)D	IV	1017207	1017278	-	72	0	0	0	0	0	0
YDL152W	IV	182822	183187	+	366	6	12	9	0	0	0
YDR432W	IV	1328783	1330027	+	1245	2622	3483	3076	1076	981	1320
YDL022C-A	IV	409808	410056	-	249	2	0	0	226	156	201
YDL114W-A	IV	254935	255048	+	114	7	8	10	16	33	16
YDR410C	IV	1292372	1293091	-	720	832	1169	872	2033	1429	1842
YDR464C-A	IV	1392492	1392680	-	189	3	1	1	0	1	0
YDL072C	IV	329836	330447	-	612	2247	2829	2407	10096	8747	11106
YDR053W	IV	560249	560644	+	396	8	12	9	4	3	7
YDL012C	IV;IV	431108;431473	431386;431517	-;-	324	408	433	439	373	291	401
YDR482C	IV	1420431	1420838	-	408	111	139	158	176	151	199
YDL070W	IV	331024	332940	+	1917	1364	1992	1582	2016	1746	2031
YDR064W	IV;IV	579458;580018	579478;580452	+;+	456	37593	46856	40298	1830	1665	2005
YDL135C	IV	218680	219288	-	609	985	1222	1045	1338	1214	1572
YDL077C	IV	316971	320120	-	3150	860	1162	905	1710	1649	1979
YDR354C-A	IV	1185139	1185282	-	144	14	12	8	15	19	20
YDL033C	IV	392659	393912	-	1254	279	331	286	363	406	429
YDL031W	IV	394217	397204	+	2988	2122	2656	2381	363	322	431
YDR398W	IV	1267471	1269402	+	1932	1253	1513	1451	137	92	164
YDR326C	IV	1120609	1124925	-	4317	4450	5921	5012	4661	4251	5402
YDL052C	IV	362672	363583	-	912	1717	2162	2015	1857	1677	1946
YDR536W	IV	1508005	1509714	+	1710	6	0	7	25	19	38
YDR397C	IV;IV	1266366;1266862	1266769;1266898	-;-	441	486	694	512	664	550	666
YDL116W	IV	251566	253746	+	2181	1497	2092	1682	2875	2579	3062
YDR028C	IV	497835	500879	-	3045	2742	3510	2999	4445	4089	5342
YDL007W	IV	438047	439360	+	1314	1930	2771	2436	2741	2199	2739
YDR236C	IV	935236	935892	-	657	533	683	577	1811	1556	1992
YDR011W	IV	465919	470424	+	4506	5503	7269	6733	6767	5802	7461
YDR155C	IV	768512	769000	-	489	12895	17731	13660	14459	11677	14746
YDR414C	IV	1295598	1296686	-	1089	555	676	598	570	538	611
YDR026C	IV	492556	494268	-	1713	521	594	509	634	610	779
YDL073W	IV	326613	329567	+	2955	1167	1571	1302	1793	1451	1859
tY(GUA)D	IV;IV	946312;946365	946350;946400	+;+	75	13	11	6	4	2	9
YDL115C	IV;IV	253995;255045	254974;255126	-;-	1062	216	302	240	1323	1125	1297
YDL145C	IV	194571	198176	-	3606	16647	20687	18183	10735	9597	12067
YDR203W	IV	857682	857999	+	318	5	10	4	25	54	50
YDL104C	IV	273653	274876	-	1224	79	130	113	161	180	169
YDL149W	IV	184925	187918	+	2994	385	440	402	8170	7278	8988
YDR231C	IV	926293	926910	-	618	178	209	238	1072	1032	1333
YDR045C	IV	547978	548310	-	333	298	501	386	195	185	202
YDL075W	IV;IV	322226;322704	322282;322988	+;+	342	16018	20264	17129	1065	984	1081
YDR415C	IV	1297037	1298161	-	1125	459	515	527	758	610	738
YDR339C	IV	1149951	1150520	-	570	666	765	754	541	452	633
YDL213C	IV	77289	77966	-	678	497	630	621	117	94	131
YDR096W	IV	637139	639823	+	2685	628	913	793	4209	3743	4655
YDL019C	IV	417663	421514	-	3852	2355	2898	2581	6458	5316	6616
YDL022W	IV	411825	413000	+	1176	3165	4179	3323	16534	14503	18383
YDR413C	IV	1294836	1295411	-	576	32	19	38	5	3	13
YDR391C	IV	1257358	1258056	-	699	227	359	280	1675	1407	1845
YDR091C	IV	626708	628534	-	1827	4948	7021	5313	1052	961	1136
YDR240C	IV	943674	945152	-	1479	322	409	370	548	487	656
YDL244W	IV	16204	17226	+	1023	17	36	37	92	75	82
YDR179C	IV	818708	819196	-	489	79	126	118	85	78	101
YDL165W	IV	164290	164865	+	576	571	694	584	849	734	893
YDL140C	IV	205360	210561	-	5202	15343	20436	19184	9706	8170	10706
YDR120C	IV	691549	693261	-	1713	1270	1803	1623	203	149	187
YDR003W	IV	454122	454754	+	633	324	383	297	2660	2485	3005
YDR499W	IV	1447830	1450073	+	2244	407	533	437	716	677	829
YDR166C	IV	786306	789221	-	2916	1029	1402	1205	2851	2429	2978
YDL092W	IV	292781	293221	+	441	692	792	639	678	626	704
YDL041W	IV	378102	378455	+	354	7	7	2	18	11	10
YDL241W	IV	20635	21006	+	372	175	163	162	41	25	23
YDL082W	IV;IV	308424;308793	308427;309388	+;+	600	10859	13164	12152	621	577	737
YDR277C	IV	1014401	1015702	-	1302	46	45	45	487	397	504
YDR291W	IV	1039728	1042961	+	3234	791	1055	976	1704	1450	1931
YDR475C	IV	1407464	1410094	-	2631	526	628	600	1804	1522	1973
YDR244W	IV	950563	952401	+	1839	578	662	582	1390	1298	1502
YDR407C	IV	1284069	1287938	-	3870	2265	2777	2381	4816	4392	5609
YDR382W	IV	1239492	1239824	+	333	20056	25022	22809	6929	5909	7893
YDR102C	IV	657648	657980	-	333	12	28	33	38	38	56
YDL188C	IV	123865	124998	-	1134	1376	1787	1640	3910	3363	4249
YDR405W	IV	1277646	1278437	+	792	183	197	175	316	285	262
YDR443C	IV	1345676	1349938	-	4263	1040	1507	1333	1837	1692	2083
YDR059C	IV;IV	569234;569724	569633;569770	-;-	447	271	320	264	1148	1057	1182
YDR144C	IV	744311	746101	-	1791	2595	3380	2799	738	704	801
YDL157C	IV	174232	174588	-	357	1131	1228	1055	247	289	312
YDL058W	IV	345665	351037	+	5373	3414	4895	4085	4899	4205	5111
YDL096C	IV	286998	287324	-	327	36	31	27	23	23	37
YDL155W	IV	176773	178056	+	1284	712	872	831	719	630	705
YDR147W	IV	751631	753235	+	1605	555	790	636	1220	1128	1366
YDL191W	IV;IV	117664;118158	117666;118517	+;+	363	6686	7118	7001	778	788	1033
YDL128W	IV	232652	233887	+	1236	2782	3507	3061	4790	4304	5608
YDR310C	IV	1081128	1084316	-	3189	1286	1709	1575	1147	1087	1399
YDL160C-A	IV	169366	169608	-	243	212	214	169	222	216	242
YDR127W	IV	704484	709250	+	4767	13387	17641	15341	15655	13352	16709
YDR497C	IV	1443713	1445467	-	1755	16045	20946	17448	17583	14539	17962
YDL162C	IV	167359	167715	-	357	2	5	2	10	12	14
tS(AGA)D3	IV	1305630	1305712	+	83	2	5	4	0	1	1
YDR201W	IV	856317	856814	+	498	177	273	260	206	230	288
YDR163W	IV	781423	781950	+	528	93	147	150	311	202	246
YDL146W	IV	192750	194225	+	1476	767	916	737	3639	3304	4054
YDR363W-A	IV	1202128	1202397	+	270	897	990	865	938	915	1095
YDL221W	IV	62011	62562	+	552	19	17	14	65	52	81
YDL089W	IV	296820	298274	+	1455	502	677	535	1319	952	1293
YDR385W	IV	1243230	1245758	+	2529	41268	55873	43480	4370	3973	4847
YDR331W	IV	1129588	1130823	+	1236	1078	1390	1179	1206	1027	1230
YDR196C	IV	850274	850999	-	726	301	450	391	1281	1210	1385
YDR116C	IV	682724	683581	-	858	341	489	409	501	418	528
YDR001C	IV	450220	452475	-	2256	1598	2058	1749	15521	12637	16095
YDL230W	IV	42700	43707	+	1008	296	363	306	765	834	978
YDR160W	IV	776163	778721	+	2559	544	648	576	1381	1014	1416
YDR123C	IV	698554	699468	-	915	226	293	257	292	250	339
YDR322W	IV	1110589	1111692	+	1104	453	634	523	517	466	571
YDR040C	IV	535192	538467	-	3276	184	220	189	386	324	393
YDR025W	IV;IV	491515;491899	491559;492324	+;+	471	16254	18721	17686	795	865	1079
YDR046C	IV	548762	550576	-	1815	2785	3802	3491	662	459	595
YDL057W	IV	351434	352420	+	987	113	160	121	607	600	674
YDL248W	IV	1802	2953	+	1152	364	349	303	1400	1408	1730
YDR008C	IV	462252	462602	-	351	26	48	34	140	129	189
YDR029W	IV	501100	501414	+	315	17	26	6	24	14	10
YDR485C	IV	1424820	1427207	-	2388	453	596	478	877	672	899
YDR408C	IV	1288215	1288859	-	645	789	820	786	2549	2267	2865
YDR038C	IV	527422	530697	-	3276	302	396	303	324	288	335
YDL204W	IV	94605	95786	+	1182	118	168	119	10758	9465	12009
YDR019C	IV	484163	485365	-	1203	967	1113	984	16074	13386	15813
YDR477W	IV	1412373	1414274	+	1902	1314	1718	1490	2337	2022	2433
YDR254W	IV	965113	966489	+	1377	210	292	238	2350	2047	2386
YDR514C	IV	1471548	1472999	-	1452	203	251	252	100	81	107
YDR296W	IV	1055212	1055892	+	681	316	365	378	562	467	631
YDL216C	IV	68997	70319	-	1323	131	179	148	1021	882	1029
YDL100C	IV	282112	283176	-	1065	4742	5539	5126	2778	2647	3440
YDL068W	IV	333500	333829	+	330	9	13	6	28	21	40
YDL026W	IV	404749	405060	+	312	5	2	4	48	37	54
YDL124W	IV	240259	241197	+	939	1902	2558	2040	35453	31343	38034
YDL227C	IV	46271	48031	-	1761	1377	1760	1518	176	121	179
YDL111C	IV	263313	264110	-	798	1232	1479	1218	1162	994	1279
YDR324C	IV	1114433	1116763	-	2331	1455	2170	1836	86	82	86
YDL170W	IV	156318	157904	+	1587	492	693	530	3029	2499	2957
YDR317W	IV	1102184	1103428	+	1245	43	71	53	55	48	41
YDR436W	IV	1334821	1336953	+	2133	373	444	439	1606	1430	1682
YDR208W	IV	868224	870563	+	2340	1472	1864	1616	3053	2801	3294
YDR386W	IV	1246084	1247982	+	1899	270	343	252	742	726	761
YDR504C	IV	1456311	1456694	-	384	92	131	138	506	511	553
YDL220C	IV	62244	65018	-	2775	426	414	427	372	367	484
YDR396W	IV	1266295	1266795	+	501	50	62	36	32	21	24
YDR258C	IV	971808	974243	-	2436	1488	2035	1809	15143	12175	15540
YDR176W	IV	814452	816560	+	2109	614	852	817	751	639	866
YDL099W	IV	283419	284444	+	1026	396	507	523	475	407	444
YDR380W	IV	1234218	1236125	+	1908	34	42	30	18188	16221	20808
YDL110C	IV	264512	264964	-	453	220	296	231	3591	3174	4162
YDR148C	IV	753675	755066	-	1392	1703	2103	1642	3926	3371	4489
YDL201W	IV	99561	100421	+	861	776	999	897	158	113	157
YDL107W	IV	268921	269976	+	1056	163	190	107	284	269	279
YDR515W	IV	1473429	1474772	+	1344	334	507	401	420	321	406
YDR133C	IV	720962	721297	-	336	2707	3339	2954	7530	6885	8935
YDR378C	IV	1229349	1229609	-	261	816	1105	877	821	708	840
YDR473C	IV	1404445	1405854	-	1410	172	239	183	291	254	280
YDR403W	IV	1274602	1276212	+	1611	65	73	80	469	386	449
YDR268W	IV	1004004	1005143	+	1140	345	337	341	747	720	815
YDR409W	IV	1289406	1292120	+	2715	448	566	502	620	599	627
YDR173C	IV	810565	811632	-	1068	202	271	195	969	735	922
YDR187C	IV	836228	836746	-	519	16	17	24	10	13	12
YDR389W	IV	1252537	1254501	+	1965	1203	1663	1309	1851	1641	2148
YDR417C	IV	1301555	1301926	-	372	135	124	123	11	12	22
YDR165W	IV	784871	786205	+	1335	1516	2151	1831	258	220	289
YDL113C	IV	256633	258555	-	1923	537	729	517	5028	4357	5397
YDR426C	IV	1321629	1322006	-	378	6	18	9	22	4	10
YDR521W	IV	1483141	1483476	+	336	0	0	1	4	3	8
YDR086C	IV	616928	617170	-	243	1967	2642	2116	1567	1431	1785
YDL021W	IV	413953	414888	+	936	147	217	156	1686	1543	1960
YDR023W	IV	489508	490896	+	1389	11310	14354	11851	2646	2444	2826
YDR394W	IV	1261681	1262967	+	1287	2206	2839	2698	3914	3469	4630
YDR320C-A	IV	1108280	1108498	-	219	347	364	349	504	497	592
YDR003W-A	IV	454782	454904	+	123	82	74	72	585	570	655
YDR183W	IV	829585	830277	+	693	184	236	179	291	198	314
YDR245W	IV	952800	953981	+	1182	1936	2588	2038	2299	1982	2388
YDR431W	IV	1328390	1328701	+	312	5	4	0	9	8	14
YDL154W	IV	178334	181039	+	2706	178	288	271	754	749	820
YDL184C	IV	130407	130484	-	78	10071	10968	10424	1786	1598	1990
YDR153C	IV	766736	767971	-	1236	688	826	705	1502	1314	1572
YDR014W-A	IV	477797	478285	+	489	9	13	11	86	58	52
YDR434W	IV	1331237	1332841	+	1605	1782	2381	2005	2590	2163	2647
YDL002C	IV	446967	447578	-	612	344	478	353	829	712	859
YDR225W	IV	915530	915928	+	399	6937	7655	7639	13946	13428	16243
YDR418W	IV	1301616	1302113	+	498	25224	30925	26409	2262	1960	2488
YDR224C	IV	914317	914712	-	396	4527	5562	5146	4264	3667	4613
YDR502C	IV	1453310	1454464	-	1155	9789	13211	11044	86042	74523	90069
YDR447C	IV;IV	1354829;1355551	1355236;1355553	-;-	411	12075	15862	12686	455	387	473
YDL039C	IV	381985	384081	-	2097	326	390	434	80	45	49
YDL225W	IV	52445	54100	+	1656	885	1206	969	742	607	769
YDR259C	IV	974631	975782	-	1152	94	103	95	413	407	518
YDR495C	IV	1438115	1441150	-	3036	588	811	565	1022	928	1131
YDL151C	IV	183318	183899	-	582	32	35	23	20	5	13
YDR357C	IV	1189199	1189567	-	369	276	386	275	660	532	671
YDR370C	IV	1217782	1219110	-	1329	420	562	465	690	560	708
YDR298C	IV	1058176	1058814	-	639	1787	2203	1853	4059	3546	4312
YDR276C	IV	1013476	1013643	-	168	4055	4655	4407	9161	8024	10286
YDL185C-A	IV	126608	126835	-	228	56	83	107	34	24	30
YDR545C-A	IV	1530863	1531342	-	480	0	0	0	0	0	0
tM(CAU)D	IV	1175829	1175901	+	73	6	3	11	2	1	2
